`id` bigint(20) UNSIGNED NOT NULL,;  `description` text NOT NULL,;  `quantity` int(11) NOT NULL,;  `amount` decimal(11,2) NOT NULL,;  `VAT` decimal(8,2) NOT NULL, 0,2;  `invoice_id` bigint(20)  ID de la facture,;deleted_at;created_at;updated_at
69;Evaluation d'un état d'avancement du projet porté par  la Sté Boyout EL MINIAA, Objet des TF N° 154.777/53 & 154.778/53.;1;3500.00;0.2;69;NULL;2024-06-01 23:15:14;NULL
70;"Evalaution du Projet ayant le T.F N°16704/D de superficie 11.940m² sis commune Ouled Azzouz:
- Evalaution du Foncier
- Evaluation du Programme d'investissment.";1;7000.00;0.2;70;NULL;2024-06-01 23:15:14;NULL
71;Evaluation Immobilière d’un bien immobilier de type « villa », sis , El Jadida- Maroc. Objet du TF N° 110.277/08 de Superficie 190m²;1;3000.00;0.2;71;NULL;2024-06-01 23:15:14;NULL
72;"Evaluation Immobilière d’un projet immobilier, sis Berrechid, Casablanca - Maroc. Objet des TF 146.033/53 (197m²); 146.034/53 (203m²);146.036/53(202m²) et 146.035/53 (197m²)

- Expertise du Foncier
- Evaluation du Chiffre d'affaires du projet
- Validation du programme d'investissement.";1;8500.00;0.2;72;NULL;2024-06-01 23:15:14;NULL
73;"Expertise immobilière d'un complexe sportif faisant l'objet des T.F N° TF68125/C; TF120567/C et TF126155/C de superficie globale de 5107.50 m², sis quartier LA GIRONDE - Casablanca
- Expertise du Foncier
- Validation du programme d'investissement.";1;6500.00;0.2;73;NULL;2024-06-01 23:15:14;NULL
74;"Evaluation de 04 Terrains Sis Had Soualem ayant les T.F :
- N°105.845/53 de superficie 632m² 
- N° 105.837/53 de superficie 564m²
- N° 105.862/53 de superficie 876m²
- N° 105.846/53 de superficie 618m²";1;3500.00;0.2;74;NULL;2024-06-01 23:15:14;NULL
75;Action de formation : Introduction à l'immobilier le 08 et 10 Mai 2024;1;1666.67;0.2;75;NULL;2024-06-01 23:15:14;NULL
76;Evaluation Immobilière d’un « Bien » immobilier, de type « Lot de terrain pour villa », pour le compte de Banque AL Yousr, sis Lot N°1345, Lotissement « AL WIFAQ », Rue Arrachad, Préfecture de Skhirate-Témara, Casablanca - Maroc, objet du T.F N° 57.107/38.;1;3000.00;0.2;76;NULL;2024-06-01 23:15:14;NULL
77;Evaluation d'un actif immobilier de type maison ayant le TF N°4089/R de superficie de 182m² sis Rabat Hassane.;1;3000.00;0.2;77;NULL;2024-06-01 23:15:14;NULL
78;"Evaluation Immobilière d’un projet immobilier , sis , SIDI Othmane Baladiyat Lahraouiyine OULAD MOULOUK . Objet du TF N° 187.098/12 de Superficie 10094m²

- Expertise du Foncier
- Validation du programme d'investissement.";1;6500.00;0.2;78;NULL;2024-06-01 23:15:14;NULL
79;Evalaution Terrain ayant le TF N°128471/63 de superficie 271m² sis commune OULED SALEH NOUACEUR;1;3000.00;0.2;79;NULL;2024-06-01 23:15:14;NULL
80;"Evaluation Immobilière du Projet ayant le TF N° 78.713/06 de superficie de  51.746 m², sis ASSILA :

- Expertise du Foncier
- Etat d'avancement
- Evaluation du Chiffre d'affaires du projet
- Validation du programme d'investissement.";1;12500.00;0.2;80;NULL;2024-06-01 23:15:14;NULL
81;"Evaluation du projet   objet de TF 55289/R, sis Ain Aouda :
- Evaluation du Chiffre d'affaires du projet
- Validation du programme d'investissement.
- Etat d'avancement du projet";1;9500.00;0.2;81;NULL;2024-06-01 23:15:14;NULL
82;Evaluation immobilière relatif au terrain ayant le TF 99.799/78 d’une superficie de de 1.526m², Sis Skhirat TEMARA;1;3000.00;0.2;82;NULL;2024-06-01 23:15:14;NULL
83;"Evaluation du projet en cours de construction  objet de TF : 74030/58 – 74031/58 sis Salé :

- Evaluation du Chiffre d'affaires du projet
- Validation du programme d'investissement.
- Etat d'avancement du projet";1;8075.00;0.2;83;NULL;2024-06-01 23:15:14;NULL
84;Evaluation immobilière relatif au terrain ayant le TF N° 123.671/63 d’une superficie de 1.246m², Sis Bouskoura;1;3000.00;0.2;84;NULL;2024-06-01 23:15:14;NULL
85;Evaluation immobilière relatif au terrain ayant le TF N° 74.205/47 d’une superficie de 207m², Sis Casablanca;1;3000.00;0.2;85;NULL;2024-06-01 23:15:14;NULL
86;"Evaluation Immobilière du Projet en (R+5) faisant l'objet du  TF N° 31.05/23,  sis SAFI :

- Expertise du Foncier
- Evaluation C.A
- Validation du programme d'investissement.";1;8100.00;0.2;86;NULL;2024-06-01 23:15:14;NULL
87;Evaluation Immobilière du Projet en (R+4) faisant l'objet du  TF N° 19.712/J,  sis SAFI :;1;7600.00;0.2;87;NULL;2024-06-01 23:15:14;NULL
88;"Evaluation Immobilière d’unTerrain , sis , Zone Industrielle de SAPINO NOUACER . Objet du TF N° 8884/63  de Superficie 14110m²
- Expertise du Foncier
- Validation du programme d'investissement.";1;6500.00;0.2;88;NULL;2024-06-01 23:15:14;NULL
89;Evaluation des Fonds de Commerce;5;5000.00;0.2;89;NULL;2024-06-01 23:15:14;NULL
90;"Evaluation des terrains ayant  :
-  TF N° 1411/ 33de superficie  1.252m² 
- TF N°811/T superficie 8.039m² 
- TF N° 62.586/C de superficie 1.056m²";3;3500.00;0.2;90;NULL;2024-06-01 23:15:14;NULL
91;Evaluation Terrain ayant TF N° 125034/53 de superficie de 244m² sis Berrechid;1;3000.00;0.2;91;NULL;2024-06-01 23:15:14;NULL
92;Evaluation Immobilère d'un bureau ayant le TF N° 51,525/45 de superficie 120m² sis Casablanca ;1;2000.00;0.2;92;NULL;2024-06-01 23:15:14;NULL
93;Evaluation Immobilère de « 03 Biens » immobiliers, de type « Commerce », sis N 168, Antaria 1 Rue 7, Préfecture d'Aïn Sebaâ-Hay Mohammadi, Casablanca - Maroc, objets des T.F N°21.267/32, 21.268/32 & 21.269/32.;1;2083.33;0.2;93;NULL;2024-06-01 23:15:14;NULL
94;Action de formation : Introduction à l'immobilier le 08 et 10 Mai 2024;1;1666.67;0.2;94;NULL;2024-06-01 23:15:14;NULL
95;Evaluation d'un actif immobilier de type Duplexe ayant le TF N°231763/06 de superficie de 181m² sis TAGHAZOUTE-AGADIR,;1;3750.00;0.2;95;NULL;2024-06-01 23:15:14;NULL
96;Evaluation Immobilière d'un terrain ayant le T.F N° 121.221/01 de superficie 768 m²sis Quartier sidi Abderrahmane Casablanca;1;3000.00;0.2;96;NULL;2024-06-01 23:15:14;NULL
97;"Evaluation Immobilière du Projet en (R+5) faisant l'objet du  TF N° 93.197/47 de superficie 1.155,  sis Casablanca :

- Expertise du Foncier
- Validation du C.A
- Validation du programme d'investissement.";1;8075.00;0.2;97;NULL;2024-06-01 23:15:14;NULL
98;Evaluation du Terrain ayant  le T.F N° 51.265/53 de superficie de 26.684m² sis Had Soualem;1;5000.00;0.2;98;NULL;2024-06-01 23:15:14;NULL
99;Evaluation Immobilière d'un terrain ayant le T.F N° 191.365/63 de superficie 455 m²sis Dar Bouazza Casablanca;1;3000.00;0.2;99;NULL;2024-06-01 23:15:14;NULL
100;Evaluation immobilière d'une maison ayant le TF N° 15821/K de superficie de 173m² sis Meknes;1;3500.00;0.2;100;NULL;2024-06-01 23:15:14;NULL
101;Evaluation du Fond de commerce de la Sté Librairie IQRAE;1;4000.00;0.2;101;NULL;2024-06-01 23:15:14;NULL
102;"Evaluation Immobilière du Projet de lotissement  sis Commune BEN SLIMANE, BEN SLIMANE - Maroc. Objet du TF N°11.257/C.

- Expertise du Foncier
- Validation du C.A
- Validation du programme d'investissement.";1;9500.00;0.2;102;NULL;2024-06-01 23:15:14;NULL
103;Evaluation Immobilière des travaux d'aménagement pour le projet immobilier, de type « Ecole », pour le compte de la BANK AL YOUSR, sis Quartier El Qods, Arrondissement Sidi Bernoussi, Casablanca - Maroc, objet du TF N°10.944/32.;1;3000.00;0.2;103;NULL;2024-06-01 23:15:14;NULL
104;Evaluation d'une villa faisant l'objet du TF N° 40.018/53 de superficie 189m², sis  BERRECHID;1;3000.00;0.2;104;NULL;2024-06-01 23:15:14;NULL
105;Evaluation  d’un « Bien » immobilier, de type « Appartement », sis Résidence Sun Square, Immeuble 15, 2ème étage, Appt N°13, Quartier Almaz, Commune de Ouled Azzouz, Province de Nouaceur, Casablanca - Maroc. Objet du T.F N° 179.873/63.;1;2500.00;0.2;105;NULL;2024-06-01 23:15:14;NULL
106;Evaluation Immobilière du Projet  porté par la Sté ZADRI INTERNATIONAL sis Martil.;1;12150.00;0.2;106;NULL;2024-06-01 23:15:14;NULL
107;"Evaluation Immobilière du Projet en (ss R+3 & R+5) faisant l'objet du  TF N° 22.579/C de superficie 866 m²,  sis Casablanca :

- Expertise du Foncier
- Validation du C.A
- Validation du programme d'investissement.";1;8075.00;0.2;107;NULL;2024-06-01 23:15:14;NULL
108;"Evaluation Immobilière du Projet en (ss R+4) faisant l'objet du  TF N° 169.904/13 de superficie 267m²,  sis Kenitra :

- Expertise du Foncier
- Validation du C.A
- Validation du programme d'investissement.";1;9500.00;0.2;108;NULL;2024-06-01 23:15:14;NULL
109;Evaluation immobilière d'un terrain faisant l'objet de TF N° 191.362/63 de superficie de 438m², sis Dar Bouazza Casablanca;1;3000.00;0.2;109;NULL;2024-06-01 23:15:14;NULL
110;"Evaluation Immobilière du Projet  porté par la Sté BEL ENDROIT sis Marrakech:

- Expertise du Foncier
- Validation du C.A
- Validation du programme d'investissement.";1;10000.00;0.2;110;NULL;2024-06-01 23:15:14;NULL
111;Evaluation d'un terrain faisant l'objet du TF N° 95.539/26 de superficie 518m², sis  Mohammedia;1;3000.00;0.2;111;NULL;2024-06-01 23:15:14;NULL
112;"Evaluation immobilière d’un « Bien » immobilier, de type « Lot de Terrain pour villa », sis Lot N°529, Lotissement « Al Firdaous », Commune Urbaine Ain Aouda, Préfecture de Skhirat-Témara, Témara - Maroc., objet du T.F N° 106.620/38.
";1;3000.00;0.2;112;NULL;2024-06-01 23:15:14;NULL
